V1,V2,V3,V4,V5,Approach,Cycle,Trait
0.534205808267618,0.326766084882082,0.257255681539059,0.439032508097982,0.489545406112826,All,1,Yld.year3.BC
0.476836682392305,0.331058520460574,0.267851208544231,0.41957764493866,0.447384083924779,CDmean,1,Yld.year3.BC
0.433175268462059,0.295185318478653,0.221737685422986,0.37426310005096,0.430690391068271,Random,1,Yld.year3.BC
0.3422365232924,0.282649414851232,0.445968123381459,0.370565302070678,0.595277377140721,All,2,Yld.year3.BC
0.332826643094866,0.270318599114169,0.44184543738322,0.279929888607437,0.609788724742716,CDmean,2,Yld.year3.BC
0.293251589159132,0.0743456092591236,0.394759555928458,0.249759191523243,0.575829495436269,Random,2,Yld.year3.BC
0.396929366187865,0.360661681597006,0.257141188295133,0.554395209124198,0.453601133860225,All,3,Yld.year3.BC
0.409996005133159,0.310372889284615,0.262464358406126,0.556529335047532,0.374202883326823,CDmean,3,Yld.year3.BC
0.389213659979287,0.43007246096762,0.36285767125273,0.521063201941296,0.341552885508017,Random,3,Yld.year3.BC
0.366132652359834,0.503718520839356,0.280656700594088,0.421432030501964,0.428846399821936,All,4,Yld.year3.BC
0.378728417514444,0.445403137225922,0.226855863702078,0.403233040733014,0.449711667044419,CDmean,4,Yld.year3.BC
0.395609107338067,0.351076201715782,0.18524493004942,0.241637394168323,0.433578534664199,Random,4,Yld.year3.BC
0.44142709267403,0.409668708876476,0.458333375964888,0.386664759391434,0.389172195869782,All,5,Yld.year3.BC
0.42427213720779,0.409062820915859,0.452741646519064,0.370244358351752,0.394975099243372,CDmean,5,Yld.year3.BC
0.403205187147219,0.262039654128131,0.418630895477292,0.391479656175862,0.363399414677204,Random,5,Yld.year3.BC
0.269436118016208,0.580318717587532,0.389290806310101,0.393871770396959,0.338738161574714,All,6,Yld.year3.BC
0.221677068892294,0.570625601465224,0.273339703786967,0.388178828883523,0.357025429626135,CDmean,6,Yld.year3.BC
0.218078104055725,0.502912931565421,0.0820990745374031,0.394312276022755,0.39769673887174,Random,6,Yld.year3.BC
0.459475793946841,0.492586525103454,0.492289503849499,0.179098269643887,0.406129859603267,All,7,Yld.year3.BC
0.434864496434189,0.522874446788583,0.377013417825858,0.174740990541916,0.360336535012942,CDmean,7,Yld.year3.BC
0.435091679898994,0.361894035653422,0.307412430277959,0.223734889826866,0.341555930942494,Random,7,Yld.year3.BC
0.446529989359665,0.408089728486541,0.220584706358097,0.58724349062551,0.307924176758252,All,8,Yld.year3.BC
0.465243854587474,0.386719993437038,0.161291805904602,0.566908763537127,0.294546687807439,CDmean,8,Yld.year3.BC
0.44455343820871,0.389731522604603,0.169651691187501,0.531670354551384,0.320143116008278,Random,8,Yld.year3.BC
0.342097597036993,0.479278877007063,0.358417218654894,0.522017404799532,0.298942346081854,All,9,Yld.year3.BC
0.382246529064433,0.395862807296793,0.302756004507361,0.486921225529706,0.310817239592911,CDmean,9,Yld.year3.BC
0.264901340739872,0.455529301452602,0.177775379433501,0.443147941825295,0.330949992380533,Random,9,Yld.year3.BC
0.424563890117414,0.651213988213147,0.33794143629442,0.297304129314136,0.246749282783887,All,10,Yld.year3.BC
0.40823997787279,0.63094299312291,0.353758494558886,0.265012052796901,0.282547235129051,CDmean,10,Yld.year3.BC
0.248968101801009,0.652962416288754,0.390320717146777,0.261258933632836,0.157907999538872,Random,10,Yld.year3.BC
