V1,V2,V3,V4,V5,Approach,Cycle,Trait
0.86346142874351,0.842278349686471,0.790227285031352,0.791783437597909,0.786850252064303,All,1,DBI.year3.BC
0.860922395262906,0.829485944348199,0.771948443014976,0.793673975666585,0.785166886261547,CDmean,1,DBI.year3.BC
0.83873099322163,0.830883917436653,0.781065988580334,0.792253867458945,0.77895118417069,Random,1,DBI.year3.BC
0.824787011703829,0.859610218403052,0.822622078095868,0.807567962654319,0.749739082654041,All,2,DBI.year3.BC
0.795928143529837,0.840319244974121,0.810456615701576,0.801244503699758,0.741842832434567,CDmean,2,DBI.year3.BC
0.704139944458467,0.832199202131582,0.694933250721038,0.761919512593132,0.745114255860114,Random,2,DBI.year3.BC
0.805695365085339,0.775155906735934,0.757924950618021,0.818299047423271,0.886761857955153,All,3,DBI.year3.BC
0.787020769185532,0.753196528331824,0.748732060297099,0.821896364955325,0.875915184897538,CDmean,3,DBI.year3.BC
0.778209481950992,0.737224610712649,0.721941848923515,0.601284266271747,0.832858019092868,Random,3,DBI.year3.BC
0.849067123618775,0.763588491855193,0.746005526171534,0.87405129892732,0.835332136619131,All,4,DBI.year3.BC
0.852012717063024,0.753969326349957,0.737983589883012,0.867358147326678,0.820903891451285,CDmean,4,DBI.year3.BC
0.848815593696084,0.758700741472951,0.713630090539065,0.828876790689636,0.693195007638588,Random,4,DBI.year3.BC
0.763954317939716,0.827970079480758,0.833111908406678,0.850354179465953,0.778244457346899,All,5,DBI.year3.BC
0.77905470039338,0.828458566151487,0.826298282752038,0.854750602089362,0.781760462123964,CDmean,5,DBI.year3.BC
0.751567499888405,0.826989702464809,0.824458064781084,0.830230877508974,0.774915941041977,Random,5,DBI.year3.BC
0.826454972670865,0.817550484077978,0.836461825504625,0.731264565952384,0.871000186555506,All,6,DBI.year3.BC
0.80490130806603,0.816955351928618,0.839127029317316,0.731016593208594,0.869496189391967,CDmean,6,DBI.year3.BC
0.785926449842448,0.808456833821838,0.838396091855762,0.726395135325658,0.867415203913243,Random,6,DBI.year3.BC
0.820309096018659,0.828629520385888,0.772942591506979,0.782127476651979,0.868310712803729,All,7,DBI.year3.BC
0.817742096656873,0.820076963771565,0.774318874177507,0.786471949242317,0.863540922413081,CDmean,7,DBI.year3.BC
0.818759189687249,0.808701300407298,0.723470567453071,0.747720303242437,0.833982665184744,Random,7,DBI.year3.BC
0.840270689309135,0.804807112079819,0.864930264324755,0.771741057542921,0.786979925007238,All,8,DBI.year3.BC
0.83431628690368,0.799824872536114,0.850724595159514,0.774093154386227,0.789113374187904,CDmean,8,DBI.year3.BC
0.830412417707211,0.760465685336464,0.599951344233668,0.738145943270801,0.76788181765164,Random,8,DBI.year3.BC
0.819112510940875,0.856128328339942,0.787031226136708,0.826646006956986,0.778980802968609,All,9,DBI.year3.BC
0.798388274916487,0.849996461652537,0.794855372559041,0.808640188831649,0.776091328256613,CDmean,9,DBI.year3.BC
0.692991798505734,0.7654516726082,0.796740234119352,0.812989030187889,0.754005172280872,Random,9,DBI.year3.BC
0.813540264574124,0.857786467340243,0.769358054721577,0.808634388183085,0.832245982693478,All,10,DBI.year3.BC
0.811346236588665,0.838833103633274,0.769861413426686,0.806804114549967,0.822950656456094,CDmean,10,DBI.year3.BC
0.791597205840612,0.79646020301216,0.762925080977996,0.801322518657384,0.829857014625502,Random,10,DBI.year3.BC
